time P_1 P_2 P_{tot}
1.710010000000000030e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.720010000000000039e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.730010000000000048e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.740010000000000057e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.750010000000000066e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.760010000000000074e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.770010000000000083e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.780010000000000092e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.790010000000000101e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.800010000000000110e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.810009999999999897e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.820009999999999906e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.830009999999999915e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.840009999999999923e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.850009999999999932e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.860009999999999941e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.870009999999999950e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.880009999999999959e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.890009999999999968e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.900009999999999977e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.910009999999999986e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.920009999999999994e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.930010000000000003e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.940010000000000012e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.950010000000000021e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.960010000000000030e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.970010000000000039e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.980010000000000048e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.990010000000000057e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.000010000000000066e+00 -2.067915552243218824e-01 2.067915552243218824e-01 0.000000000000000000e+00
2.010009999999999852e+00 -2.055545203711620916e-01 2.055545203711620916e-01 0.000000000000000000e+00
2.020010000000000083e+00 -2.043248852410873839e-01 2.043248852410873839e-01 0.000000000000000000e+00
2.030009999999999870e+00 -2.031026061565313623e-01 2.031026061565313623e-01 0.000000000000000000e+00
2.040010000000000101e+00 -2.018876392066365766e-01 2.018876392066365766e-01 0.000000000000000000e+00
2.050009999999999888e+00 -2.006799402651965603e-01 2.006799402651965603e-01 0.000000000000000000e+00
2.060010000000000119e+00 -1.994794657022180562e-01 1.994794657022180562e-01 0.000000000000000000e+00
2.070009999999999906e+00 -1.982861725153860222e-01 1.982861725153860222e-01 0.000000000000000000e+00
2.080010000000000137e+00 -1.971000176107339519e-01 1.971000176107339519e-01 0.000000000000000000e+00
2.090009999999999923e+00 -1.959209582700176533e-01 1.959209582700176533e-01 0.000000000000000000e+00
2.100010000000000154e+00 -1.947489521005360824e-01 1.947489521005360824e-01 0.000000000000000000e+00
2.110009999999999941e+00 -1.935839569145901273e-01 1.935839569145901273e-01 0.000000000000000000e+00
2.120010000000000172e+00 -1.924259307744947411e-01 1.924259307744947411e-01 0.000000000000000000e+00
2.130009999999999959e+00 -1.912748320479188968e-01 1.912748320479188968e-01 0.000000000000000000e+00
2.140010000000000190e+00 -1.901306192609695522e-01 1.901306192609695522e-01 0.000000000000000000e+00
2.150009999999999977e+00 -1.889932512208278848e-01 1.889932512208278848e-01 0.000000000000000000e+00
2.160010000000000208e+00 -1.878626869851765524e-01 1.878626869851765524e-01 0.000000000000000000e+00
2.170009999999999994e+00 -1.867388857496338761e-01 1.867388857496338761e-01 0.000000000000000000e+00
2.180009999999999781e+00 -1.856218072063606783e-01 1.856218072063606783e-01 0.000000000000000000e+00
2.190010000000000012e+00 -1.845114110892079884e-01 1.845114110892079884e-01 0.000000000000000000e+00
2.200009999999999799e+00 -1.834076573289483980e-01 1.834076573289483980e-01 0.000000000000000000e+00
2.210010000000000030e+00 -1.823105063716629337e-01 1.823105063716629337e-01 0.000000000000000000e+00
2.220009999999999817e+00 -1.812199185648214195e-01 1.812199185648214195e-01 0.000000000000000000e+00
2.230010000000000048e+00 -1.801358546630125734e-01 1.801358546630125734e-01 0.000000000000000000e+00
2.240009999999999835e+00 -1.790582757425108751e-01 1.790582757425108751e-01 0.000000000000000000e+00
2.250010000000000066e+00 -1.779871428645176668e-01 1.779871428645176668e-01 0.000000000000000000e+00
2.260009999999999852e+00 -1.769224175788708942e-01 1.769224175788708942e-01 0.000000000000000000e+00
2.270010000000000083e+00 -1.758640615359483850e-01 1.758640615359483850e-01 0.000000000000000000e+00
2.280009999999999870e+00 -1.748120365265788123e-01 1.748120365265788123e-01 0.000000000000000000e+00
2.290010000000000101e+00 -1.737663048114956588e-01 1.737663048114956588e-01 0.000000000000000000e+00
2.300009999999999888e+00 -1.727268286776192929e-01 1.727268286776192929e-01 0.000000000000000000e+00
2.310010000000000119e+00 -1.716935706930896588e-01 1.716935706930896588e-01 0.000000000000000000e+00
2.320009999999999906e+00 -1.706664936508524022e-01 1.706664936508524022e-01 0.000000000000000000e+00
2.330010000000000137e+00 -1.696455605640741771e-01 1.696455605640741771e-01 0.000000000000000000e+00
2.340009999999999923e+00 -1.686307347209414498e-01 1.686307347209414498e-01 0.000000000000000000e+00
2.350010000000000154e+00 -1.676219795982068494e-01 1.676219795982068494e-01 0.000000000000000000e+00
2.360009999999999941e+00 -1.666192588722859580e-01 1.666192588722859580e-01 0.000000000000000000e+00
