time P_D P_L P_R P_V P_{tot}
3.290010000000000101e+00 3.743567981642999531e-01 -6.603629457808071201e-01 2.860061476159723171e-01 -5.348499421131691633e-13 0.000000000000000000e+00
3.300009999999999888e+00 3.657563043798999769e-01 -6.387719660011451639e-01 2.730156616196777186e-01 -1.567468377317027262e-12 0.000000000000000000e+00
3.310010000000000119e+00 3.572413869436999456e-01 -6.176932411175944937e-01 2.604518541744048621e-01 5.103140132689532038e-13 0.000000000000000000e+00
3.320009999999999906e+00 3.488111943406999593e-01 -5.971157847430295096e-01 2.483045904028277351e-01 4.981848267249233686e-13 0.000000000000000000e+00
3.330010000000000137e+00 3.404648835231000037e-01 -5.770288364040858653e-01 2.365639528824450000e-01 1.459138365689227612e-12 0.000000000000000000e+00
3.340009999999999923e+00 3.322016198591999925e-01 -5.574218570796216632e-01 2.252202372185233004e-01 -1.898370349806555168e-12 0.000000000000000000e+00
3.350010000000000154e+00 3.240205770220999648e-01 -5.382845246405779660e-01 2.142639476198666126e-01 1.388611448049914543e-12 0.000000000000000000e+00
3.360009999999999941e+00 3.159209369273999757e-01 -5.196067295572855960e-01 2.036857926307882594e-01 9.026390745958678963e-13 0.000000000000000000e+00
3.370010000000000172e+00 3.079018896421999996e-01 -5.013785705526073722e-01 1.934766809086479744e-01 -1.759398182699101199e-12 0.000000000000000000e+00
3.380009999999999959e+00 2.999626331939999613e-01 -4.835903501586493736e-01 1.836277169646493568e-01 -5.551115123125782702e-17 0.000000000000000000e+00
3.390010000000000190e+00 2.921023736749999711e-01 -4.662325710353455999e-01 1.741301973603456010e-01 -2.775557561562891351e-17 0.000000000000000000e+00
3.400009999999999977e+00 2.843203250383999903e-01 -4.492959316293048677e-01 1.649756065917171999e-01 8.123224315426114117e-13 0.000000000000000000e+00
3.410010000000000208e+00 2.766157090347000080e-01 -4.327713222685289907e-01 1.561556132342241388e-01 3.951561300397088417e-13 0.000000000000000000e+00
3.420009999999999994e+00 2.689877553033999669e-01 -4.166498216356147033e-01 1.476620663329832606e-01 7.685241332211489862e-13 0.000000000000000000e+00
3.430009999999999781e+00 2.614357010601000009e-01 -4.009226924646652201e-01 1.394869914056856564e-01 1.120437076451707981e-12 0.000000000000000000e+00
3.440010000000000012e+00 2.539587910411999494e-01 -3.855813778734836217e-01 1.316225868308323887e-01 -1.451283537790004630e-12 0.000000000000000000e+00
3.450009999999999799e+00 2.465562775185999866e-01 -3.706174978944654641e-01 1.240612203751610132e-01 -7.044642647002774538e-13 0.000000000000000000e+00
3.460010000000000030e+00 2.392274202702999730e-01 -3.560228460036677922e-01 1.167954257330259954e-01 -3.418237914942778843e-13 0.000000000000000000e+00
3.470009999999999817e+00 2.319714864578999725e-01 -3.417893854986649438e-01 1.098178990397707666e-01 -9.942047185518276819e-13 0.000000000000000000e+00
3.480010000000000048e+00 2.247877503948999822e-01 -3.279092457583120401e-01 1.031214953624487174e-01 -9.633405184672483301e-13 0.000000000000000000e+00
3.490009999999999835e+00 2.176754936446999855e-01 -3.143747192228866782e-01 9.669922557849761069e-02 3.109179580462750891e-13 0.000000000000000000e+00
3.500010000000000066e+00 2.106340049694999939e-01 -3.011782581302226980e-01 9.054425316222723674e-02 1.504532609608588700e-12 0.000000000000000000e+00
3.510009999999999852e+00 2.036625804066000134e-01 -2.883124715451200748e-01 8.464989113852003366e-02 -2.775557561562891351e-17 0.000000000000000000e+00
3.520010000000000083e+00 1.967605226629000059e-01 -2.757701211906093963e-01 7.900959852770936265e-02 -2.775557561562891351e-17 0.000000000000000000e+00
3.530009999999999870e+00 1.899271414851999851e-01 -2.635441191846676912e-01 7.361697769946770609e-02 0.000000000000000000e+00 0.000000000000000000e+00
3.540010000000000101e+00 1.831617534795999813e-01 -2.516275247810729754e-01 6.846577130147298018e-02 -1.387778780781445676e-17 0.000000000000000000e+00
3.550009999999999888e+00 1.764636823257000053e-01 -2.400135418766093376e-01 6.354985955090931837e-02 -1.387778780781445676e-17 0.000000000000000000e+00
3.560010000000000119e+00 1.698322580807999915e-01 -2.286955149886029659e-01 5.886325690780296743e-02 -6.938893903907228378e-18 0.000000000000000000e+00
3.570009999999999906e+00 1.632668175732999993e-01 -2.176669272070004546e-01 5.440010963370045527e-02 0.000000000000000000e+00 0.000000000000000000e+00
3.580010000000000137e+00 1.567667042115999942e-01 -2.069213971694924270e-01 5.015469295789241194e-02 -2.081668171172168513e-17 0.000000000000000000e+00
3.590009999999999923e+00 1.503312681226999792e-01 -1.964526766438818572e-01 4.612140852118186418e-02 -1.387778780781445676e-17 0.000000000000000000e+00
