time	i_D	u_D	i_L	u_L	i_R	u_R	i_V	u_V
1.06001	-4.14023854077e-41	-0.346455808312	0.653544191683	0.346455808375	0.653544191693	0.653544191693	-0.653544191688	1.
1.07001	-5.02543754375e-41	-0.343008515417	0.656991484576	0.343008515494	0.656991484588	0.656991484588	-0.656991484582	1.
1.08001	-4.08542171636e-41	-0.339595523632	0.660404476363	0.339595523695	0.660404476372	0.660404476372	-0.660404476368	1.
1.09001	5.07129827058e-43	-0.336216491631	0.663783508369	0.33621649163	0.663783508369	0.663783508369	-0.663783508369	1.
1.10001	8.5887452502e-41	-0.33287108148	0.667128918531	0.332871081348	0.66712891851	0.66712891851	-0.667128918521	1.
1.11001	1.10291653379e-40	-0.329558958758	0.670441041256	0.329558958589	0.67044104123	0.67044104123	-0.670441041243	1.
1.12001	9.88567685434e-41	-0.326279792188	0.673720207824	0.326279792037	0.673720207801	0.673720207801	-0.673720207812	1.
1.13001	2.26159336648e-41	-0.323033253849	0.676966746154	0.323033253814	0.676966746148	0.676966746148	-0.676966746151	1.
1.14001	-1.55893812916e-40	-0.319819019076	0.680180980904	0.319819019315	0.680180980942	0.680180980942	-0.680180980923	1.
1.15001	-2.39403712917e-40	-0.316636766518	0.683363233453	0.316636766884	0.68336323351	0.68336323351	-0.683363233481	1.
1.16001	-2.32838961916e-40	-0.313486177939	0.686513822032	0.313486178296	0.686513822088	0.686513822088	-0.68651382206	1.
1.17001	-9.54373994511e-41	-0.31036693828	0.689633061708	0.310366938427	0.68963306173	0.68963306173	-0.689633061719	1.
1.18001	2.52409499066e-40	-0.307278735619	0.692721264413	0.307278735232	0.692721264353	0.692721264353	-0.692721264383	1.
1.19001	5.62068347655e-40	-0.304221261129	0.695778738941	0.304221260268	0.695778738807	0.695778738807	-0.695778738873	1.
1.20001	7.13576962569e-40	-0.301194209049	0.69880579104	0.301194207955	0.69880579087	0.69880579087	-0.698805790954	1.
1.21001	7.03850623323e-40	-0.298197276641	0.701802723446	0.298197275563	0.701802723278	0.701802723278	-0.701802723362	1.
1.22001	4.05256507053e-40	-0.295230164167	0.704769835884	0.295230163546	0.704769835787	0.704769835787	-0.704769835835	1.
1.23001	-1.10853137978e-41	-0.292292574957	0.707707425041	0.292292574974	0.707707425044	0.707707425044	-0.707707425043	1.
1.24001	-2.42753288861e-40	-0.289384215328	0.710615784641	0.2893842157	0.710615784699	0.710615784699	-0.710615784671	1.
1.25001	-3.98260945648e-40	-0.286504794368	0.713495205582	0.286504794979	0.713495205677	0.713495205677	-0.71349520563	1.
1.26001	-3.61534651424e-40	-0.283654024116	0.716345975839	0.28365402467	0.716345975925	0.716345975925	-0.716345975883	1.
1.27001	-1.43914664662e-40	-0.28083161949	0.719168380492	0.280831619711	0.719168380526	0.719168380526	-0.719168380509	1.
1.28001	-8.01119763951e-41	-0.278037298292	0.721962701698	0.278037298414	0.721962701718	0.721962701718	-0.721962701708	1.
1.29001	1.09779686654e-41	-0.275270781044	0.724729218957	0.275270781027	0.724729218955	0.724729218955	-0.724729218956	1.
1.30001	9.72226756121e-41	-0.272531791074	0.727468208938	0.272531790925	0.727468208915	0.727468208915	-0.727468208926	1.
1.31001	1.47177559862e-40	-0.269820054465	0.730179945553	0.26982005424	0.730179945518	0.730179945518	-0.730179945535	1.
1.32001	2.52821162174e-40	-0.267135300114	0.732864699918	0.267135299726	0.732864699857	0.732864699857	-0.732864699887	1.
1.33001	3.29116949393e-40	-0.264477259491	0.73552274055	0.264477258987	0.735522740471	0.735522740471	-0.73552274051	1.
1.34001	3.42949097952e-40	-0.261845666777	0.738154333265	0.261845666252	0.738154333184	0.738154333184	-0.738154333224	1.
1.35001	2.53120315802e-40	-0.259240258787	0.740759741244	0.2592402584	0.740759741184	0.740759741184	-0.740759741214	1.
1.36001	2.19039312317e-40	-0.256660775074	0.743339224953	0.256660774738	0.743339224901	0.743339224901	-0.743339224927	1.
1.37001	1.91738750208e-40	-0.254106957647	0.745893042377	0.254106957353	0.745893042331	0.745893042331	-0.745893042354	1.
1.38001	1.9710833942e-40	-0.25157855112	0.748421448905	0.251578550818	0.748421448857	0.748421448857	-0.748421448881	1.
1.39001	2.78011232665e-40	-0.249075302645	0.75092469739	0.249075302219	0.750924697324	0.750924697324	-0.750924697357	1.
1.40001	2.8873049007e-40	-0.246596961918	0.753403038118	0.246596961476	0.753403038049	0.753403038049	-0.753403038083	1.
1.41001	2.12675560306e-40	-0.2441432811	0.755856718926	0.244143280774	0.755856718876	0.755856718876	-0.755856718901	1.
1.42001	5.12815264103e-41	-0.241714014804	0.758285985202	0.241714014725	0.75828598519	0.75828598519	-0.758285985196	1.
1.43001	-2.38865576926e-40	-0.239308920082	0.760691079888	0.239308920448	0.760691079945	0.760691079945	-0.760691079917	1.
1.44001	-4.93412205285e-40	-0.236927756469	0.763072243469	0.236927757225	0.763072243587	0.763072243587	-0.763072243529	1.
1.45001	-5.4646110371e-40	-0.234570285883	0.765429714049	0.23457028672	0.765429714179	0.765429714179	-0.765429714115	1.
1.46001	-3.87950139763e-40	-0.232236272545	0.767763727406	0.23223627314	0.767763727499	0.767763727499	-0.767763727453	1.
1.47001	1.09571324355e-40	-0.229925483049	0.770074516965	0.229925482881	0.770074516938	0.770074516938	-0.770074516951	1.
1.48001	7.87217158631e-40	-0.227637686308	0.77236231379	0.227637685102	0.772362313602	0.772362313602	-0.772362313695	1.
1.49001	1.13111614097e-39	-0.225372653533	0.774627346608	0.2253726518	0.774627346338	0.774627346338	-0.774627346471	1.
1.50001	1.24628133601e-39	-0.223130158191	0.776869841965	0.223130156281	0.776869841667	0.776869841667	-0.776869841815	1.
1.51001	9.1521335854e-40	-0.220909975992	0.779090024122	0.22090997459	0.779090023903	0.779090023903	-0.779090024012	1.
1.52001	9.96141002578e-41	-0.21871188491	0.781288115102	0.218711884757	0.781288115079	0.781288115079	-0.78128811509	1.
1.53001	-2.98685989198e-40	-0.216535665287	0.783464334676	0.216535665745	0.783464334747	0.783464334747	-0.783464334712	1.
1.54001	-6.20467036554e-40	-0.214381099425	0.785618900497	0.214381100376	0.785618900645	0.785618900645	-0.785618900572	1.
1.55001	-6.83518424436e-40	-0.212247971877	0.787752028038	0.212247972924	0.787752028201	0.787752028201	-0.78775202812	1.
1.56001	-2.79915948578e-40	-0.210136069335	0.78986393063	0.210136069764	0.789863930696	0.789863930696	-0.789863930663	1.
1.57001	-2.07626796607e-40	-0.208045180577	0.791954819397	0.208045180895	0.791954819447	0.791954819447	-0.791954819422	1.
1.58001	-7.2043310359e-41	-0.205975096518	0.794024903473	0.205975096628	0.794024903491	0.794024903491	-0.794024903482	1.
1.59001	8.9451279181e-41	-0.203925610132	0.796074389879	0.203925609995	0.796074389858	0.796074389858	-0.796074389868	1.
1.60001	2.1425509331e-40	-0.201896516444	0.798103483583	0.201896516115	0.798103483532	0.798103483532	-0.798103483557	1.
1.61001	3.90686227127e-40	-0.199887612597	0.800112387452	0.199887611999	0.800112387358	0.800112387358	-0.800112387404	1.
1.62001	5.36821391822e-40	-0.19789869767	0.802101302397	0.197898696848	0.802101302268	0.802101302268	-0.802101302332	1.
1.63001	5.71709820958e-40	-0.195929572741	0.80407042733	0.195929571865	0.804070427193	0.804070427193	-0.804070427261	1.
1.64001	4.13338477731e-40	-0.193980040868	0.806019959184	0.193980040234	0.806019959085	0.806019959085	-0.806019959134	1.
1.65001	2.61617842043e-40	-0.192049907157	0.807950092876	0.192049906756	0.807950092814	0.807950092814	-0.807950092844	1.
1.66001	2.14911927384e-40	-0.190138978616	0.809861021411	0.190138978287	0.809861021359	0.809861021359	-0.809861021385	1.
1.67001	2.58426947017e-40	-0.188247064128	0.811752935904	0.188247063732	0.811752935842	0.811752935842	-0.811752935873	1.
1.68001	4.89013013569e-40	-0.186373974505	0.813626025556	0.186373973756	0.813626025439	0.813626025439	-0.813626025497	1.
1.69001	7.6635931387e-40	-0.184519522437	0.815480477659	0.184519521263	0.815480477476	0.815480477476	-0.815480477566	1.
1.70001	8.30195306953e-40	-0.182683522476	0.817316477627	0.182683521204	0.817316477429	0.817316477429	-0.817316477527	1.
1.71001	7.71492042829e-40	-0.180865791017	0.819134209079	0.180865789835	0.819134208895	0.819134208895	-0.819134208986	1.
1.72001	4.9691846343e-40	-0.179066146275	0.820933853787	0.179066145513	0.820933853669	0.820933853669	-0.820933853727	1.
1.73001	4.37850322506e-41	-0.17728440829	0.822715591715	0.177284408223	0.822715591705	0.822715591705	-0.82271559171	1.
1.74001	-2.06304537345e-40	-0.175520398946	0.824479601028	0.175520399262	0.824479601077	0.824479601077	-0.824479601053	1.
1.75001	-3.79772482806e-40	-0.173773941811	0.826226058141	0.173773942393	0.826226058232	0.826226058232	-0.826226058187	1.
1.76001	-3.75566120299e-40	-0.172044862236	0.827955137717	0.172044862812	0.827955137807	0.827955137807	-0.827955137762	1.
1.77001	-1.20715674552e-40	-0.170332987307	0.829667012678	0.170332987492	0.829667012707	0.829667012707	-0.829667012692	1.
1.78001	-3.40349430799e-41	-0.168638145843	0.831361854153	0.168638145895	0.831361854161	0.831361854161	-0.831361854157	1.
1.79001	7.194424039e-41	-0.166960168338	0.833039831671	0.166960168227	0.833039831654	0.833039831654	-0.833039831663	1.
1.80001	1.49155901332e-40	-0.165298886971	0.834701113048	0.165298886742	0.834701113012	0.834701113012	-0.83470111303	1.
