time	y	v	a
2.32785594684	4.85133658374	0.975873772398	-9.81
2.33785594684	4.86060482146	0.877773772398	-9.81
2.34785594684	4.86889205919	0.779673772398	-9.81
2.35785594684	4.87619829691	0.681573772398	-9.81
2.36785594684	4.88252353463	0.583473772398	-9.81
2.37785594684	4.88786777236	0.485373772398	-9.81
2.38785594684	4.89223101008	0.387273772398	-9.81
2.39785594684	4.8956132478	0.289173772398	-9.81
2.40785594684	4.89801448553	0.191073772398	-9.81
2.41785594684	4.89943472325	0.0929737723978	-9.81
2.42785594684	4.89987396098	-0.00512622760219	-9.81
2.43785594684	4.8993321987	-0.103226227602	-9.81
2.44785594684	4.89780943642	-0.201326227602	-9.81
2.45785594684	4.89530567415	-0.299426227602	-9.81
2.46785594684	4.89182091187	-0.397526227602	-9.81
2.47785594684	4.88735514959	-0.495626227602	-9.81
2.48785594684	4.88190838732	-0.593726227602	-9.81
2.49785594684	4.87548062504	-0.691826227602	-9.81
2.50785594684	4.86807186277	-0.789926227602	-9.81
2.51785594684	4.85968210049	-0.888026227602	-9.81
2.52785594684	4.85031133821	-0.986126227602	-9.81
2.53785594684	4.83995957594	-1.0842262276	-9.81
2.54785594684	4.82862681366	-1.1823262276	-9.81
2.55785594684	4.81631305138	-1.2804262276	-9.81
2.56785594684	4.80301828911	-1.3785262276	-9.81
2.57785594684	4.78874252683	-1.4766262276	-9.81
2.58785594684	4.77348576456	-1.5747262276	-9.81
2.59785594684	4.75724800228	-1.6728262276	-9.81
2.60785594684	4.74002924	-1.7709262276	-9.81
2.61785594684	4.72182947773	-1.8690262276	-9.81
2.62785594684	4.70264871545	-1.9671262276	-9.81
2.63785594684	4.68248695317	-2.0652262276	-9.81
2.64785594684	4.6613441909	-2.1633262276	-9.81
2.65785594684	4.63922042862	-2.2614262276	-9.81
2.66785594684	4.61611566635	-2.3595262276	-9.81
2.67785594684	4.59202990407	-2.4576262276	-9.81
2.68785594684	4.56696314179	-2.5557262276	-9.81
2.69785594684	4.54091537952	-2.6538262276	-9.81
2.70785594684	4.51388661724	-2.7519262276	-9.81
2.71785594684	4.48587685496	-2.8500262276	-9.81
2.72785594684	4.45688609269	-2.9481262276	-9.81
2.73785594684	4.42691433041	-3.0462262276	-9.81
2.74785594684	4.39596156814	-3.1443262276	-9.81
2.75785594684	4.36402780586	-3.2424262276	-9.81
2.76785594684	4.33111304358	-3.3405262276	-9.81
2.77785594684	4.29721728131	-3.4386262276	-9.81
2.78785594684	4.26234051903	-3.5367262276	-9.81
2.79785594684	4.22648275675	-3.6348262276	-9.81
2.80785594684	4.18964399448	-3.7329262276	-9.81
2.81785594684	4.1518242322	-3.8310262276	-9.81
2.82785594684	4.11302346993	-3.9291262276	-9.81
2.83785594684	4.07324170765	-4.0272262276	-9.81
2.84785594684	4.03247894537	-4.1253262276	-9.81
2.85785594684	3.9907351831	-4.2234262276	-9.81
2.86785594684	3.94801042082	-4.3215262276	-9.81
2.87785594684	3.90430465854	-4.4196262276	-9.81
2.88785594684	3.85961789627	-4.5177262276	-9.81
2.89785594684	3.81395013399	-4.6158262276	-9.81
2.90785594684	3.76730137172	-4.7139262276	-9.81
2.91785594684	3.71967160944	-4.8120262276	-9.81
2.92785594684	3.67106084716	-4.9101262276	-9.81
2.93785594684	3.62146908489	-5.0082262276	-9.81
2.94785594684	3.57089632261	-5.1063262276	-9.81
2.95785594684	3.51934256034	-5.2044262276	-9.81
2.96785594684	3.46680779806	-5.3025262276	-9.81
2.97785594684	3.41329203578	-5.4006262276	-9.81
2.98785594684	3.35879527351	-5.4987262276	-9.81
2.99785594684	3.30331751123	-5.5968262276	-9.81
3.00785594684	3.24685874895	-5.6949262276	-9.81
3.01785594684	3.18941898668	-5.7930262276	-9.81
3.02785594684	3.1309982244	-5.8911262276	-9.81
3.03785594684	3.07159646213	-5.9892262276	-9.81
3.04785594684	3.01121369985	-6.0873262276	-9.81
3.05785594684	2.94984993757	-6.1854262276	-9.81
3.06785594684	2.8875051753	-6.2835262276	-9.81
3.07785594684	2.82417941302	-6.3816262276	-9.81
3.08785594684	2.75987265075	-6.4797262276	-9.81
3.09785594684	2.69458488847	-6.5778262276	-9.81
3.10785594684	2.62831612619	-6.6759262276	-9.81
3.11785594684	2.56106636392	-6.7740262276	-9.81
3.12785594684	2.49283560164	-6.8721262276	-9.81
3.13785594684	2.42362383936	-6.9702262276	-9.81
3.14785594684	2.35343107709	-7.0683262276	-9.81
3.15785594684	2.28225731481	-7.1664262276	-9.81
3.16785594684	2.21010255254	-7.2645262276	-9.81
3.17785594684	2.13696679026	-7.3626262276	-9.81
3.18785594684	2.06285002798	-7.4607262276	-9.81
3.19785594684	1.98775226571	-7.5588262276	-9.81
3.20785594684	1.91167350343	-7.6569262276	-9.81
3.21785594684	1.83461374116	-7.7550262276	-9.81
3.22785594684	1.75657297888	-7.8531262276	-9.81
3.23785594684	1.6775512166	-7.9512262276	-9.81
3.24785594684	1.59754845433	-8.0493262276	-9.81
3.25785594684	1.51656469205	-8.1474262276	-9.81
3.26785594684	1.43459992977	-8.2455262276	-9.81
3.27785594684	1.3516541675	-8.3436262276	-9.81
3.28785594684	1.26772740522	-8.4417262276	-9.81
3.29785594684	1.18281964295	-8.5398262276	-9.81
3.30785594684	1.09693088067	-8.6379262276	-9.81
3.31785594684	1.01006111839	-8.7360262276	-9.81
3.32785594684	0.922210356118	-8.8341262276	-9.81
3.33785594684	0.833378593842	-8.9322262276	-9.81
3.34785594684	0.743565831566	-9.0303262276	-9.81
3.35785594684	0.652772069289	-9.1284262276	-9.81
3.36785594684	0.560997307013	-9.2265262276	-9.81
3.37785594684	0.468241544737	-9.3246262276	-9.81
3.38785594684	0.374504782461	-9.4227262276	-9.81
3.39785594684	0.279787020185	-9.5208262276	-9.81
3.40785594684	0.184088257909	-9.6189262276	-9.81
3.41785594684	0.0874084956324	-9.7170262276	-9.81
3.42681086353	1.18223623932e-09	-9.80487395975	-9.81
3.4268208636	1.18223623946e-09	6.86341177182	0.
3.42682232034	9.9987794422e-06	6.86341177182	0.
3.42683232043	1.88779442202e-07	6.86341177182	-9.81
3.43683232043	0.0681438062934	6.76531177182	-9.81
3.44683232043	0.135306423989	6.66721177182	-9.81
3.45683232043	0.201488041692	6.56911177182	-9.81
3.46683232043	0.266688659401	6.47101177182	-9.81
3.47683232043	0.33090827711	6.37291177182	-9.81
3.48683232043	0.394146894821	6.27481177182	-9.81
3.49683232043	0.456404512534	6.17671177182	-9.81
3.50683232043	0.517681130248	6.07861177182	-9.81
3.51683232043	0.577976747962	5.98051177182	-9.81
3.52683232043	0.637291365676	5.88241177182	-9.81
3.53683232043	0.69562498339	5.78431177182	-9.81
3.54683232043	0.752977601104	5.68621177182	-9.81
3.55683232043	0.809349218819	5.58811177182	-9.81
3.56683232043	0.864739836534	5.49001177182	-9.81
3.57683232043	0.91914945425	5.39191177182	-9.81
3.58683232043	0.972578071967	5.29381177182	-9.81
