time	x	y	vx	vy	ax	ay	t
0.74001	2.98695944519	0.279116737903	0.559314210586	-5.98575492953	-11.0864814232	-10.8460316609	?
0.75001	2.99198814388	0.218719805981	0.445408486203	-6.09333259273	-11.6960436799	-10.6649841287	?
0.76001	2.99584716305	0.157256599374	0.325367712843	-6.19896284544	-12.3132692747	-10.4563553772	?
0.77001	2.998474815	0.0947480189626	0.199121401625	-6.30236298554	-12.937010369	-10.2186828782	?
0.78001	2.99980873922	0.0312178123763	0.0666107999156	-6.40323835721	-13.5659356658	-9.95119743392	?
0.79001	2.99978605029	-0.0333072487175	-0.0722099998137	-6.5012825802	-14.1987754712	-9.65247812626	?
0.80001	2.99834345387	-0.0987972927218	-0.217372923054	-6.59617780414	-14.8341048275	-9.32115933163	?
0.81001	2.99541742425	-0.165218985468	-0.368893492274	-6.68759500866	-15.4702300441	-8.95669813708	?
0.82001	2.99094439333	-0.232535905189	-0.52677195288	-6.77519578869	-16.1055312861	-8.5578361166	?
0.83001	2.98486086401	-0.300708312876	-0.690991677729	-6.85863246763	-16.7381823924	-8.12370387553	?
0.84001	2.9771035966	-0.369692774195	-0.861516684365	-6.93754805341	-17.3662859242	-7.65348415028	?
0.85001	2.96760983496	-0.439442386301	-1.03829169982	-7.01157819469	-17.9877871117	-7.14639410697	?
0.86001	2.95631743868	-0.509906519614	-1.22124052235	-7.08035120733	-18.6005291031	-6.60176520911	?
0.87001	2.94316506162	-0.581030544723	-1.41026426908	-7.14348835588	-19.2023127595	-6.01914019933	?
0.88001	2.92809253342	-0.652756188637	-1.60524139722	-7.20060713437	-19.7907552524	-5.39807293017	?
0.89001	2.91104113478	-0.725021325497	-1.80602560903	-7.2513223346	-20.363375737	-4.73830784709	?
0.90001	2.89195359755	-0.797759970734	-2.01244686845	-7.29524621486	-20.9177163145	-4.03974404473	?
0.91001	2.87077446975	-0.87090227831	-2.22430938404	-7.33199036265	-21.4511972819	-3.30239771005	?
0.92001	2.84745043769	-0.94437452859	-2.44139044942	-7.36116774194	-21.9610612594	-2.5264453972	?
0.93001	2.82193043905	-1.01809912852	-2.66344157339	-7.38239463549	-22.4446023723	-1.71244885374	?
0.94001	2.79416613912	-1.09199466727	-2.89018513076	-7.3952922444	-22.8989634856	-0.86082693592	?
0.95001	2.76411215466	-1.165975981	-3.12131525344	-7.39948891335	-23.3213616554	0.0275665834636	?
0.96001	2.73172643022	-1.23995428406	-3.3564965877	-7.39462281875	-23.7088651895	0.951690375394	?
0.97001	2.69697009362	-1.31383713302	-3.59536858666	-7.38034222708	-24.0588215222	1.91026436021	?
0.98001	2.65980812093	-1.38752864626	-3.83754026628	-7.35630706869	-24.3683843306	2.90214373481	?
0.99001	2.62020966424	-1.46092968051	-4.08259196006	-7.32219528252	-24.6345101755	3.92526678074	?
1.00001	2.57814816534	-1.53393795205	-4.33007679633	-7.27770314947	-24.8545603883	4.97790845846	?
1.01001	2.53360162227	-1.60644821239	-4.57952078719	-7.22254660131	-25.0258879984	6.05780154079	?
1.02001	2.48655291008	-1.67835247691	-4.83042313144	-7.15646359157	-25.1458020166	7.16273456749	?
1.03001	2.43699006088	-1.74954028283	-5.08225770336	-7.07921800876	-25.2118980474	8.28991108751	?
